ACTION,CLEARED,INDICATION_OF_COLLATERALIZATION,TAXONOMY,PRICE_FORMING_CONTINUATION_DATA,PRICE_NOTATION,ROUNDED_NOTIONAL_AMOUNT_1
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.74,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.73,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.73,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.73,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.72,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.73,110
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.73,110
NEW,U,UC,Credit:Index:CDX:CDXHY,Trade,5,5
NEW,U,PC,Credit:Index:CDX:CDXIG,Partialtermination,0.74,110
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,84.62,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,76.25,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,76.38,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,65,50
NEW,U,UC,Credit:Index:CDX:CDXHY,Partialtermination,1.07,5
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,77.38,25
NEW,U,UC,Credit:Index:CDX:CDXHY,Partialtermination,1.05,10
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,87.37,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,77.69,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,88.5,30
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,78.75,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,89.62,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,89.38,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,90.12,50
NEW,U,UC,Credit:Index:CDX:CDXHY,Partialtermination,1.01,10
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,72.12,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,70.01,50
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,75.88,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,76.86,25
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,77.25,25
NEW,U,UC,Credit:Index:CDX:CDXHY,Partialtermination,1.02,10
NEW,U,UC,Credit:Index:CDX:CDXIG,Partialtermination,81.25,20
NEW,U,UC,Credit:Index:CDX:CDXHY,Partialtermination,1.05,10
NEW,U,UC,Credit:Index:CDX:CDXHY,Partialtermination,1.08,12
NEW,U,UC,Credit:Index:CDX:CDXHY,Partialtermination,1.04,7
CORRECT,C,UC,Credit:Index:CDX:CDXIG,Trade,0.65,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.73,110
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,50
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.71,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,110
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,100
NEW,C,UC,Credit:Index:CDX:CDXIG,Trade,0.72,75
NEW,U,FC,Credit:Index:CDX:CDXIG,Trade,0.72,100
NEW,U,PC,Credit:Index:CDX:CDXIG,Trade,0.73,9
NEW,U,UC,Credit:Index:CDX:CDXIG,Trade,0.73,50
